system:time_start,NDVI,NDYI
"Jan 3, 2025",0.345,0.37
"Jan 4, 2025",0.503,0.329
"Jan 11, 2025",0.433,0.286
"Jan 12, 2025",0.458,0.224
"Jan 19, 2025",0.418,0.254
"Jan 20, 2025",0.444,0.223
"Jan 27, 2025",0.408,0.24
"Jan 28, 2025",0.447,0.219
"Feb 4, 2025",,
"Feb 5, 2025",0.486,0.255
"Feb 12, 2025",,
"Feb 13, 2025",0.519,0.373
"Feb 20, 2025",0.456,0.281
"Feb 21, 2025",0.489,0.271
"Feb 28, 2025",0.395,0.298
"Mar 1, 2025",0.506,0.247
"Mar 8, 2025",0.511,0.291
"Mar 9, 2025",0.54,0.262
"Mar 16, 2025",0.64,0.379
"Mar 17, 2025",0.584,0.354
"Mar 24, 2025",0.562,0.33
"Mar 25, 2025",0.581,0.279
"Apr 1, 2025",0.597,0.399
"Apr 2, 2025",0.573,0.286
"Apr 9, 2025",0.521,0.282
"Apr 10, 2025",0.56,0.278
"Apr 18, 2025",0.488,0.267
"Apr 26, 2025",,
"May 3, 2025",0.425,0.276
"May 4, 2025",0.449,0.238
"May 11, 2025",0.391,0.256
"May 12, 2025",0.403,0.239
"May 19, 2025",0.376,0.246
"May 20, 2025",0.397,0.23
"May 27, 2025",0.363,0.248
"May 28, 2025",0.393,0.235
"Jun 4, 2025",0.357,0.24
"Jun 5, 2025",0.394,0.236
"Jun 12, 2025",0.351,0.249
"Jun 13, 2025",0.395,0.239
"Jun 20, 2025",0.346,0.253
"Jun 21, 2025",0.396,0.241
"Jun 28, 2025",0.349,0.25
"Jun 29, 2025",0.408,0.243
